equipment_event_id,depot_id,loading_position_id,equipment_category,component_name,status,event_timestamp,resolved_timestamp,flow_impact_pct,operational_notes
EQ-000001,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-06-11 23:00:00,,0,Nominal operating telemetry
EQ-000002,nairobi,NBO-P05,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-06-12 21:00:00,,0,Nominal operating telemetry
EQ-000003,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-06-13 13:00:00,,0,Nominal operating telemetry
EQ-000004,nairobi,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,HEALTHY,2026-06-14 03:00:00,,0,Nominal operating telemetry
EQ-000005,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,UNAVAILABLE,2026-06-15 04:00:00,2026-06-15 13:00:00,100,Gross Weighbridge Transducer offline for maintenance
EQ-000006,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,HEALTHY,2026-06-16 05:00:00,,0,Nominal operating telemetry
EQ-000007,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,UNAVAILABLE,2026-06-17 06:00:00,2026-06-17 08:00:00,100,Redundant DCS PLC Gateway offline for maintenance
EQ-000008,nairobi,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-06-17 16:00:00,,0,Nominal operating telemetry
EQ-000009,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-06-18 16:00:00,,0,Nominal operating telemetry
EQ-000010,nairobi,,GATE_SCALE,Tare Weighbridge Loadcell Platform,UNAVAILABLE,2026-06-19 05:00:00,2026-06-19 10:00:00,100,Tare Weighbridge Loadcell Platform offline for maintenance
EQ-000011,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,HEALTHY,2026-06-20 05:00:00,,0,Nominal operating telemetry
EQ-000012,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,DEGRADED,2026-06-21 00:00:00,2026-06-21 06:00:00,13,Vapor Recovery Compressor calibration offset detected
EQ-000013,nairobi,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-06-21 19:00:00,,0,Nominal operating telemetry
EQ-000014,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,DEGRADED,2026-06-22 12:00:00,2026-06-22 20:00:00,12,OPC-UA Interface Bridge calibration offset detected
EQ-000015,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-06-23 13:00:00,,0,Nominal operating telemetry
EQ-000016,nairobi,NBO-P07,METERING,Digital Batch Controller,HEALTHY,2026-06-24 07:00:00,,0,Nominal operating telemetry
EQ-000017,nairobi,NBO-P04,METERING,Digital Batch Controller,HEALTHY,2026-06-25 08:00:00,,0,Nominal operating telemetry
EQ-000018,nairobi,NBO-P08,METERING,Flow Meter Temperature RTD,HEALTHY,2026-06-25 16:00:00,,0,Nominal operating telemetry
