stage_id,decision_id,stage_sequence,stage_name,stage_timestamp,stage_status,metric_label,metric_value,payload_summary
STG-DEC0142-01,DEC-0142,1,SIGNAL,2026-09-15 10:02:18,COMPLETED,Trigger Received,Expected Demand 18 orders vs 11 capacity,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC0142-02,DEC-0142,2,PREDICT,2026-09-15 10:02:36,COMPLETED,Predicted Dwell Blowout,114m turnaround (+49m above baseline SLA),Forecasted queue blowout with 92.4% confidence
STG-DEC0142-03,DEC-0142,3,DIAGNOSE,2026-09-15 10:02:40,COMPLETED,Causal Attribution,-7 tankers / 90m capacity deficit,Primary cause: Loading capacity deficit; Secondary: Metering drag
STG-DEC0142-04,DEC-0142,4,OPTIMIZE,2026-09-15 10:02:43,COMPLETED,Candidate Ranking,OPT-03 selected (Score 94/100),Evaluated 4 candidate options; chosen for -38m projected recovery
STG-DEC0142-05,DEC-0142,5,DECIDE,2026-09-15 10:02:45,COMPLETED,Policy Gate,POL-042 (L2 Passed),"Autonomy rule satisfied: Dwell > 25m, zero hazardous cargo conflict"
STG-DEC0142-06,DEC-0142,6,EXECUTE,2026-09-15 10:02:47,COMPLETED,Actuation Dispatch,Dispatched to Bays P01 & P04,Ack latency 142ms; orders LO-NBO-8821 re-sequenced
STG-DEC0142-07,DEC-0142,7,VERIFY,2026-09-15 10:48:15,COMPLETED,Closed-Loop Recovery,Verified -34 min reduction,Recovery attainment 89.5%; KES 1.42M exposure protected
STG-DEC0142-08,DEC-0142,8,LOG,2026-09-15 10:48:22,COMPLETED,Audit Digest Stamped,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00002-01,DEC-00002,1,SIGNAL,2026-06-11 14:59:58,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00002-02,DEC-00002,2,PREDICT,2026-06-11 15:00:07,COMPLETED,Predicted Dwell Blowout,82m turnaround (+32m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00002-03,DEC-00002,3,DIAGNOSE,2026-06-11 15:00:13,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at PS27
STG-DEC-00002-04,DEC-00002,4,OPTIMIZE,2026-06-11 15:00:19,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -24m recovery
STG-DEC-00002-05,DEC-00002,5,DECIDE,2026-06-11 15:00:25,COMPLETED,L3_APPROVAL_REQUIRED Policy Check,Status: APPROVED,Autonomy rule evaluation completed
STG-DEC-00002-06,DEC-00002,6,EXECUTE,2026-06-11 15:00:27,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00002-07,DEC-00002,7,VERIFY,2026-06-11 15:45:25,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00002-08,DEC-00002,8,LOG,2026-06-11 15:45:32,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00003-01,DEC-00003,1,SIGNAL,2026-06-12 10:00:17,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00003-02,DEC-00003,2,PREDICT,2026-06-12 10:00:26,COMPLETED,Predicted Dwell Blowout,74m turnaround (+24m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00003-03,DEC-00003,3,DIAGNOSE,2026-06-12 10:00:32,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS27
STG-DEC-00003-04,DEC-00003,4,OPTIMIZE,2026-06-12 10:00:38,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -18m recovery
STG-DEC-00003-05,DEC-00003,5,DECIDE,2026-06-12 10:00:44,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00003-06,DEC-00003,6,EXECUTE,2026-06-12 10:00:46,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00003-07,DEC-00003,7,VERIFY,2026-06-12 10:45:44,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00003-08,DEC-00003,8,LOG,2026-06-12 10:45:51,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00004-01,DEC-00004,1,SIGNAL,2026-06-13 19:00:13,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00004-02,DEC-00004,2,PREDICT,2026-06-13 19:00:22,COMPLETED,Predicted Dwell Blowout,65m turnaround (+7m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00004-03,DEC-00004,3,DIAGNOSE,2026-06-13 19:00:28,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at PS25
STG-DEC-00004-04,DEC-00004,4,OPTIMIZE,2026-06-13 19:00:34,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -5m recovery
STG-DEC-00004-05,DEC-00004,5,DECIDE,2026-06-13 19:00:40,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00004-06,DEC-00004,6,EXECUTE,2026-06-13 19:00:42,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00004-07,DEC-00004,7,VERIFY,2026-06-13 19:45:40,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00004-08,DEC-00004,8,LOG,2026-06-13 19:45:47,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00005-01,DEC-00005,1,SIGNAL,2026-06-14 12:59:55,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00005-02,DEC-00005,2,PREDICT,2026-06-14 13:00:04,COMPLETED,Predicted Dwell Blowout,111m turnaround (+39m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00005-03,DEC-00005,3,DIAGNOSE,2026-06-14 13:00:10,COMPLETED,Causal Attribution,Morning Peak Arrival Surge,Bottleneck identified at KOT-PS1
